gene	reactome
Q9HCG7	Metabolism;Glycosphingolipid metabolism;Sphingolipid metabolism;Metabolism of lipids
Q9HCG8	mRNA Splicing - Major Pathway;mRNA Splicing;Processing of Capped Intron-Containing Pre-mRNA;Metabolism of RNA
Q9HCI7	HATs acetylate histones;Chromatin modifying enzymes;Chromatin organization
Q9HCJ0	PIP3 activates AKT signaling;Signaling by NOTCH;Signal Transduction;Pre-NOTCH Transcription and Translation;Pre-NOTCH Expression and Processing;Signaling by WNT;Gene Silencing by RNA;Generic Transcription Pathway;Cellular responses to stress;Oxidative Stress Induced Senescence;Cellular Senescence;Oncogene Induced Senescence;Transcriptional Regulation by TP53;Beta-catenin independent WNT signaling;Ca2+ pathway;Post-transcriptional silencing by small RNAs;TP53 Regulates Metabolic Genes;MAPK family signaling cascades;MAPK6/MAPK4 signaling;PTEN Regulation;RNA Polymerase II Transcription;Gene expression (Transcription);Transcriptional Regulation by VENTX;Transcriptional regulation by RUNX1;Regulation of RUNX1 Expression and Activity;RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function;ESR-mediated signaling;Regulation of PTEN mRNA translation;Competing endogenous RNAs (ceRNAs) regulate PTEN translation;Cellular responses to external stimuli;Transcriptional Regulation by MECP2;Intracellular signaling by second messengers;Signaling by Nuclear Receptors;Estrogen-dependent gene expression;Regulation of MECP2 expression and activity;NR1H2 and NR1H3-mediated signaling;NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
Q9HCJ1	Transport of small molecules;Miscellaneous transport and binding events
Q9HCK4	Developmental Biology;Signaling by ROBO receptors;Axon guidance;Regulation of commissural axon pathfinding by SLIT and ROBO;Regulation of cortical dendrite branching;Regulation of expression of SLITs and ROBOs;ROBO receptors bind AKAP5;Nervous system development
Q9HCK5	PIP3 activates AKT signaling;Signaling by NOTCH;Signal Transduction;Pre-NOTCH Transcription and Translation;Pre-NOTCH Expression and Processing;Signaling by WNT;MicroRNA (miRNA) biogenesis;Gene Silencing by RNA;Generic Transcription Pathway;Cellular responses to stress;Oxidative Stress Induced Senescence;Cellular Senescence;Oncogene Induced Senescence;Transcriptional Regulation by TP53;Beta-catenin independent WNT signaling;Ca2+ pathway;Small interfering RNA (siRNA) biogenesis;Post-transcriptional silencing by small RNAs;TP53 Regulates Metabolic Genes;MAPK family signaling cascades;MAPK6/MAPK4 signaling;PTEN Regulation;RNA Polymerase II Transcription;Gene expression (Transcription);Transcriptional Regulation by VENTX;Transcriptional regulation by RUNX1;Regulation of RUNX1 Expression and Activity;RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function;ESR-mediated signaling;Regulation of PTEN mRNA translation;Competing endogenous RNAs (ceRNAs) regulate PTEN translation;Cellular responses to external stimuli;Transcriptional Regulation by MECP2;Intracellular signaling by second messengers;Signaling by Nuclear Receptors;Estrogen-dependent gene expression;Regulation of MECP2 expression and activity;NR1H2 and NR1H3-mediated signaling;NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
Q9HCK8	Signal Transduction;Signaling by WNT;TCF dependent signaling in response to WNT;Deactivation of the beta-catenin transactivating complex
Q9HCL2	Metabolism;Synthesis of PA;Glycerophospholipid biosynthesis;Phospholipid metabolism;Signal Transduction;Regulation of cholesterol biosynthesis by SREBP (SREBF);Generic Transcription Pathway;Activation of gene expression by SREBF (SREBP);Metabolism of lipids;RNA Polymerase II Transcription;Gene expression (Transcription);Triglyceride biosynthesis;Transcriptional regulation by RUNX1;RUNX1 regulates estrogen receptor mediated transcription;ESR-mediated signaling;Metabolism of steroids;Triglyceride metabolism;Signaling by Nuclear Receptors;Estrogen-dependent gene expression
Q9HCL3	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
Q9HCM2	Developmental Biology;Generic Transcription Pathway;Semaphorin interactions;Sema3A PAK dependent Axon repulsion;SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion;CRMPs in Sema3A signaling;Other semaphorin interactions;Axon guidance;RNA Polymerase II Transcription;Gene expression (Transcription);FOXO-mediated transcription;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes;Nervous system development
Q9HCM3	Disease;Diseases of signal transduction by growth factor receptors and second messengers;Signaling by BRAF and RAF fusions;Oncogenic MAPK signaling
Q9HCM4	Neuronal System;Neurexins and neuroligins;Protein-protein interactions at synapses
Q9HCM9	Adaptive Immune System;Immune System;Antigen processing: Ubiquitination & Proteasome degradation;Class I MHC mediated antigen processing & presentation
Q9HCN2	Generic Transcription Pathway;Transcriptional Regulation by TP53;TP53 Regulates Transcription of Cell Death Genes;TP53 Regulates Transcription of Genes Involved in Cytochrome C Release;RNA Polymerase II Transcription;Gene expression (Transcription)
Q9HCN6	Hemostasis;GPVI-mediated activation cascade;Cell surface interactions at the vascular wall;Platelet Adhesion to exposed collagen;Platelet activation, signaling and aggregation
Q9HCQ5	Metabolism of proteins;O-linked glycosylation;Post-translational protein modification;O-linked glycosylation of mucins
Q9HCR9	Hemostasis;Signal Transduction;Signaling by GPCR;GPCR downstream signalling;Nitric oxide stimulates guanylate cyclase;Platelet homeostasis;cGMP effects;G alpha (s) signalling events
Q9HCS2	Metabolism;Biological oxidations;Cytochrome P450 - arranged by substrate type;Fatty acids;Phase I - Functionalization of compounds;Eicosanoids
Q9HCS4	Signal Transduction;Degradation of beta-catenin by the destruction complex;Signaling by WNT;TCF dependent signaling in response to WNT;Formation of the beta-catenin:TCF transactivating complex;Generic Transcription Pathway;Deactivation of the beta-catenin transactivating complex;Beta-catenin independent WNT signaling;Ca2+ pathway;Binding of TCF/LEF:CTNNB1 to target gene promoters;Repression of WNT target genes;RNA Polymerase II Transcription;Gene expression (Transcription);Transcriptional regulation by RUNX3;RUNX3 regulates WNT signaling
Q9HCS7	Nucleotide Excision Repair;Formation of TC-NER Pre-Incision Complex;Transcription-Coupled Nucleotide Excision Repair (TC-NER);Dual incision in TC-NER;Gap-filling DNA repair synthesis and ligation in TC-NER;mRNA Splicing - Major Pathway;mRNA Splicing;Processing of Capped Intron-Containing Pre-mRNA;DNA Repair;Metabolism of RNA
Q9HCT0	PI3K Cascade;IRS-mediated signalling;Signaling by FGFR in disease;PIP3 activates AKT signaling;Cytokine Signaling in Immune system;Signal Transduction;Disease;Immune System;FGFR2 mutant receptor activation;Signaling by FGFR;FGFR2 ligand binding and activation;FGFR1 ligand binding and activation;FGFR1b ligand binding and activation;FGFR2b ligand binding and activation;Negative regulation of the PI3K/AKT network;Activated point mutants of FGFR2;PI3K/AKT Signaling in Cancer;Constitutive Signaling by Aberrant PI3K in Cancer;Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R);IGF1R signaling cascade;IRS-related events triggered by IGF1R;Phospholipase C-mediated cascade: FGFR1;Phospholipase C-mediated cascade; FGFR2;Downstream signaling of activated FGFR1;SHC-mediated cascade:FGFR1;PI-3K cascade:FGFR1;FRS-mediated FGFR1 signaling;PI-3K cascade:FGFR2;Downstream signaling of activated FGFR2;SHC-mediated cascade:FGFR2;FRS-mediated FGFR2 signaling;Negative regulation of FGFR1 signaling;Negative regulation of FGFR2 signaling;Signaling by FGFR1;Signaling by FGFR2;Signaling by FGFR2 in disease;FGFRL1 modulation of FGFR1 signaling;Diseases of signal transduction by growth factor receptors and second messengers;RAF/MAP kinase cascade;MAPK family signaling cascades;MAPK1/MAPK3 signaling;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Insulin receptor signalling cascade;Signaling by Insulin receptor;Intracellular signaling by second messengers;Signaling by Receptor Tyrosine Kinases;FLT3 Signaling
Q9HCU5	ER to Golgi Anterograde Transport;Membrane Trafficking;COPII-mediated vesicle transport;XBP1(S) activates chaperone genes;IRE1alpha activates chaperones;Unfolded Protein Response (UPR);Metabolism of proteins;Asparagine N-linked glycosylation;Vesicle-mediated transport;Cargo concentration in the ER;Post-translational protein modification;Transport to the Golgi and subsequent modification
Q9HCU8	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template;Recognition of DNA damage by PCNA-containing replication complex;Resolution of AP sites via the multiple-nucleotide patch replacement pathway;Telomere Maintenance;Cell Cycle;Polymerase switching on the C-strand of the telomere;Processive synthesis on the C-strand of the telomere;Telomere C-strand (Lagging Strand) Synthesis;Removal of the Flap Intermediate from the C-strand;Extension of Telomeres;Mismatch Repair;Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha);Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta);PCNA-Dependent Long Patch Base Excision Repair;Termination of translesion DNA synthesis;HDR through Homologous Recombination (HRR);DNA Double-Strand Break Repair;Homology Directed Repair;HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA);Gap-filling DNA repair synthesis and ligation in GG-NER;Nucleotide Excision Repair;Global Genome Nucleotide Excision Repair (GG-NER);Dual Incision in GG-NER;Transcription-Coupled Nucleotide Excision Repair (TC-NER);Dual incision in TC-NER;Gap-filling DNA repair synthesis and ligation in TC-NER;Polymerase switching;Leading Strand Synthesis;Removal of the Flap Intermediate;Processive synthesis on the lagging strand;Lagging Strand Synthesis;DNA strand elongation;Synthesis of DNA;S Phase;Cell Cycle, Mitotic;DNA Replication;Base Excision Repair;Chromosome Maintenance;DNA Damage Bypass;DNA Repair;Resolution of Abasic Sites (AP sites)
Q9HCU9	HDACs deacetylate histones;Chromatin modifying enzymes;Chromatin organization
Q9HCX3	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
Q9HCX4	Hemostasis;Effects of PIP2 hydrolysis;Developmental Biology;Elevation of cytosolic Ca2+ levels;Signal Transduction;Stimuli-sensing channels;TRP channels;Signaling by GPCR;Netrin-1 signaling;Transport of small molecules;GPCR downstream signalling;G alpha (q) signalling events;Platelet homeostasis;Platelet calcium homeostasis;Role of second messengers in netrin-1 signaling;Axon guidance;Platelet activation, signaling and aggregation;Nervous system development;Ion channel transport
Q9HCZ1	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
Q9HD20	Transport of small molecules;Ion transport by P-type ATPases;Ion channel transport
Q9HD23	Transport of small molecules;Miscellaneous transport and binding events
Q9HD26	Signal Transduction;Signaling by Rho GTPases;RHO GTPase Effectors;RHO GTPases regulate CFTR trafficking
Q9HD33	Metabolism of proteins;Mitochondrial translation initiation;Mitochondrial translation;Mitochondrial translation elongation;Mitochondrial translation termination;Translation
Q9HD34	Mitochondrial iron-sulfur cluster biogenesis;Metabolism
Q9HD40	Metabolism;Selenoamino acid metabolism;Selenocysteine synthesis;Metabolism of amino acids and derivatives
Q9HD42	Disease;Infectious disease;HCMV Infection;HCMV Late Events
Q9HD47	Muscle contraction;Cardiac conduction;Phase 0 - rapid depolarisation
Q9HD67	Developmental Biology;Disease;Innate Immune System;Immune System;Fcgamma receptor (FCGR) dependent phagocytosis;Regulation of actin dynamics for phagocytic cup formation;Netrin-1 signaling;Axon guidance;Infectious disease;Leishmania infection;Parasite infection;Leishmania phagocytosis;FCGR3A-mediated phagocytosis;Nervous system development
Q9HD89	Innate Immune System;Immune System;Generic Transcription Pathway;Neutrophil degranulation;RNA Polymerase II Transcription;Gene expression (Transcription);FOXO-mediated transcription;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
Q9HDB5	Neuronal System;Neurexins and neuroligins;Protein-protein interactions at synapses
Q9HDD0	Metabolism;Acyl chain remodelling of PE;Glycerophospholipid biosynthesis;Phospholipid metabolism;Metabolism of lipids
Q9LBS8	Disease;Neurotoxicity of clostridium toxins;Toxicity of botulinum toxin type B (BoNT/B);Toxicity of botulinum toxin type A (BoNT/A);Toxicity of botulinum toxin type E (BoNT/E);Uptake and actions of bacterial toxins;Infectious disease
Q9MY60	Metabolism of proteins;Post-translational protein modification;Protein ubiquitination;E3 ubiquitin ligases ubiquitinate target proteins
Q9NNW7	Cellular responses to stress;Detoxification of Reactive Oxygen Species;Cellular responses to external stimuli
Q9NNX6	Adaptive Immune System;Innate Immune System;Immune System;C-type lectin receptors (CLRs);CD209 (DC-SIGN) signaling;Butyrophilin (BTN) family interactions
Q9NP31	Signal Transduction;Signaling by VEGF;VEGFA-VEGFR2 Pathway;Signaling by Receptor Tyrosine Kinases
Q9NP55	Innate Immune System;Immune System;Antimicrobial peptides
Q9NP56	Signal Transduction;Signaling by GPCR;GPCR downstream signalling;G alpha (s) signalling events
Q9NP58	Mitochondrial ABC transporters;Disease;Transport of small molecules;ABC-family proteins mediated transport;ABC transporter disorders;Disorders of transmembrane transporters;Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7)
Q9NP59	Disease;Transport of small molecules;Transport of bile salts and organic acids, metal ions and amine compounds;SLC-mediated transmembrane transport;Metal ion SLC transporters;Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages);Defective CP causes aceruloplasminemia (ACERULOP);SLC transporter disorders;Disorders of transmembrane transporters;Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum);Iron uptake and transport
Q9NP60	Neuronal System;Receptor-type tyrosine-protein phosphatases;Protein-protein interactions at synapses
Q9NP61	ER to Golgi Anterograde Transport;Membrane Trafficking;Metabolism of proteins;Asparagine N-linked glycosylation;Vesicle-mediated transport;Post-translational protein modification;COPI-mediated anterograde transport;COPI-dependent Golgi-to-ER retrograde traffic;Intra-Golgi and retrograde Golgi-to-ER traffic;Golgi-to-ER retrograde transport;Transport to the Golgi and subsequent modification
Q9NP70	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs);Metabolism of proteins;Post-translational protein modification;Post-translational protein phosphorylation
Q9NP71	Metabolism;PKA-mediated phosphorylation of key metabolic factors;AMPK inhibits chREBP transcriptional activation activity;Integration of energy metabolism;ChREBP activates metabolic gene expression;PP2A-mediated dephosphorylation of key metabolic factors
Q9NP72	Innate Immune System;Immune System;Membrane Trafficking;Metabolism of proteins;Vesicle-mediated transport;Post-translational protein modification;Neutrophil degranulation;COPI-independent Golgi-to-ER retrograde traffic;Intra-Golgi and retrograde Golgi-to-ER traffic;Golgi-to-ER retrograde transport;RAB geranylgeranylation;RAB GEFs exchange GTP for GDP on RABs;Rab regulation of trafficking
Q9NP73	Disease;Diseases associated with N-glycosylation of proteins;Diseases of glycosylation;Metabolism of proteins;Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein;Asparagine N-linked glycosylation;Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS);Diseases of metabolism;Post-translational protein modification
Q9NP77	RNA polymerase II transcribes snRNA genes;RNA Polymerase II Transcription;Gene expression (Transcription)
Q9NP78	Transport of small molecules;ABC-family proteins mediated transport
Q9NP79	HIV Life Cycle;Budding and maturation of HIV virion;Late Phase of HIV Life Cycle;HIV Infection;Disease;Membrane Trafficking;Vesicle-mediated transport;Infectious disease;Endosomal Sorting Complex Required For Transport (ESCRT)
Q9NP80	Metabolism;Acyl chain remodelling of PC;Acyl chain remodelling of PE;Glycerophospholipid biosynthesis;Phospholipid metabolism;Metabolism of lipids
Q9NP81	tRNA Aminoacylation;Mitochondrial tRNA aminoacylation;Metabolism of proteins;Translation
Q9NP84	Cytokine Signaling in Immune system;Immune System;TNFR2 non-canonical NF-kB pathway;TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway
Q9NP85	Cell-Cell communication;Nephrin family interactions
Q9NP87	DNA Double-Strand Break Repair;Nonhomologous End-Joining (NHEJ);DNA Repair
Q9NP90	Innate Immune System;Immune System;Membrane Trafficking;Metabolism of proteins;Vesicle-mediated transport;Post-translational protein modification;Neutrophil degranulation;Retrograde transport at the Trans-Golgi-Network;Intra-Golgi and retrograde Golgi-to-ER traffic;RAB geranylgeranylation;RAB GEFs exchange GTP for GDP on RABs;Rab regulation of trafficking
Q9NP91	Disease;Amino acid transport across the plasma membrane;Transport of small molecules;Transport of bile salts and organic acids, metal ions and amine compounds;Transport of inorganic cations/anions and amino acids/oligopeptides;SLC-mediated transmembrane transport;Na+/Cl- dependent neurotransmitter transporters;Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG);SLC transporter disorders;Disorders of transmembrane transporters
Q9NP92	Metabolism of proteins;Mitochondrial translation initiation;Mitochondrial translation;Mitochondrial translation elongation;Mitochondrial translation termination;Translation
Q9NP94	Transport of small molecules;Transport of bile salts and organic acids, metal ions and amine compounds;SLC-mediated transmembrane transport;Metal ion SLC transporters;Zinc transporters;Zinc influx into cells by the SLC39 gene family
Q9NP95	PI3K Cascade;IRS-mediated signalling;Signaling by FGFR in disease;PIP3 activates AKT signaling;Cytokine Signaling in Immune system;Signal Transduction;Disease;Immune System;Signaling by activated point mutants of FGFR1;FGFR1 mutant receptor activation;FGFR2 mutant receptor activation;Signaling by activated point mutants of FGFR3;Signaling by FGFR;FGFR3 ligand binding and activation;FGFR2 ligand binding and activation;FGFR1 ligand binding and activation;FGFR4 ligand binding and activation;FGFR3b ligand binding and activation;FGFR3c ligand binding and activation;FGFR1c ligand binding and activation;FGFR2c ligand binding and activation;Negative regulation of the PI3K/AKT network;FGFR3 mutant receptor activation;Activated point mutants of FGFR2;PI3K/AKT Signaling in Cancer;Constitutive Signaling by Aberrant PI3K in Cancer;Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R);IGF1R signaling cascade;IRS-related events triggered by IGF1R;Phospholipase C-mediated cascade: FGFR1;Phospholipase C-mediated cascade; FGFR2;Phospholipase C-mediated cascade; FGFR3;Phospholipase C-mediated cascade; FGFR4;Downstream signaling of activated FGFR1;SHC-mediated cascade:FGFR1;PI-3K cascade:FGFR1;FRS-mediated FGFR1 signaling;PI-3K cascade:FGFR2;Downstream signaling of activated FGFR2;SHC-mediated cascade:FGFR2;FRS-mediated FGFR2 signaling;SHC-mediated cascade:FGFR3;FRS-mediated FGFR3 signaling;Downstream signaling of activated FGFR3;PI-3K cascade:FGFR3;FRS-mediated FGFR4 signaling;Downstream signaling of activated FGFR4;SHC-mediated cascade:FGFR4;PI-3K cascade:FGFR4;Negative regulation of FGFR1 signaling;Negative regulation of FGFR2 signaling;Negative regulation of FGFR3 signaling;Negative regulation of FGFR4 signaling;Signaling by FGFR1;Signaling by FGFR2;Signaling by FGFR3;Signaling by FGFR4;Signaling by FGFR2 in disease;Signaling by FGFR1 in disease;Signaling by FGFR3 in disease;Diseases of signal transduction by growth factor receptors and second messengers;RAF/MAP kinase cascade;MAPK family signaling cascades;MAPK1/MAPK3 signaling;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Insulin receptor signalling cascade;Signaling by Insulin receptor;Signaling by FGFR3 point mutants in cancer;Intracellular signaling by second messengers;Signaling by Receptor Tyrosine Kinases;FLT3 Signaling
Q9NP97	Organelle biogenesis and maintenance;Cilium Assembly;Intraflagellar transport
Q9NP99	Hemostasis;Adaptive Immune System;Innate Immune System;Immune System;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Cell surface interactions at the vascular wall;DAP12 interactions
Q9NPA1	Hemostasis;Neuronal System;Ca2+ activated K+ channels;Potassium Channels;Nitric oxide stimulates guanylate cyclase;Platelet homeostasis;cGMP effects
Q9NPA2	Degradation of the extracellular matrix;Extracellular matrix organization;Activation of Matrix Metalloproteinases;Innate Immune System;Immune System;Neutrophil degranulation
Q9NPA3	Metabolism;Carnitine metabolism;Metabolism of lipids;Fatty acid metabolism
Q9NPA8	HATs acetylate histones;Chromatin modifying enzymes;Chromatin organization
Q9NPB1	Metabolism;Metabolism of nucleotides;Pyrimidine catabolism;Nucleobase catabolism
Q9NPB6	Cell-Cell communication;Signal Transduction;Signaling by TGF-beta Receptor Complex;Signaling by WNT;TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition);Beta-catenin independent WNT signaling;PCP/CE pathway;Tight junction interactions;Cell-cell junction organization;Cell junction organization;Asymmetric localization of PCP proteins;Signaling by TGF-beta family members
Q9NPB8	Metabolism;Hydrolysis of LPC;Hydrolysis of LPE;Glycerophospholipid biosynthesis;Phospholipid metabolism;Metabolism of lipids
Q9NPB9	Signal Transduction;Signaling by GPCR;Class A/1 (Rhodopsin-like receptors);Peptide ligand-binding receptors;Chemokine receptors bind chemokines;GPCR ligand binding
Q9NPC1	Signal Transduction;Signaling by GPCR;Class A/1 (Rhodopsin-like receptors);GPCR downstream signalling;Eicosanoid ligand-binding receptors;Leukotriene receptors;G alpha (q) signalling events;GPCR ligand binding
Q9NPC2	Neuronal System;Potassium Channels;Tandem pore domain potassium channels;TWIK-releated acid-sensitive K+ channel (TASK);Muscle contraction;Phase 4 - resting membrane potential;Cardiac conduction
Q9NPD3	ATF4 activates genes in response to endoplasmic reticulum  stress;PERK regulates gene expression;Unfolded Protein Response (UPR);Metabolism of proteins;Deadenylation-dependent mRNA decay;mRNA decay by 3' to 5' exoribonuclease;Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA;Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA;Regulation of mRNA stability by proteins that bind AU-rich elements;KSRP (KHSRP) binds and destabilizes mRNA;Major pathway of rRNA processing in the nucleolus and cytosol;rRNA processing;rRNA processing in the nucleus and cytosol;Metabolism of RNA
Q9NPD5	Metabolism;Recycling of bile acids and salts;Disease;Metabolism of porphyrins;Heme degradation;Bile acid and bile salt metabolism;Transport of small molecules;Transport of vitamins, nucleosides, and related molecules;SLC-mediated transmembrane transport;Metabolism of lipids;Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR);SLC transporter disorders;Disorders of transmembrane transporters;Transport of organic anions;Metabolism of steroids
Q9NPD7	Post-translational modification: synthesis of GPI-anchored proteins;Metabolism of proteins;Post-translational protein modification
Q9NPD8	Metabolism of proteins;Post-translational protein modification;Fanconi Anemia Pathway;DNA Repair;Protein ubiquitination;Synthesis of active ubiquitin: roles of E1 and E2 enzymes
Q9NPE3	Telomere Maintenance;Cell Cycle;Telomere Extension By Telomerase;Extension of Telomeres;rRNA modification in the nucleus and cytosol;rRNA processing;Chromosome Maintenance;rRNA processing in the nucleus and cytosol;Metabolism of RNA
Q9NPF0	Metabolism;Disease;Cobalamin (Cbl, vitamin B12) transport and metabolism;Metabolism of water-soluble vitamins and cofactors;Metabolism of vitamins and cofactors;Defects in cobalamin (B12) metabolism;Defects in vitamin and cofactor metabolism;Defective CD320 causes methylmalonic aciduria;Diseases of metabolism
Q9NPF2	Metabolism;Glycosaminoglycan metabolism;Chondroitin sulfate/dermatan sulfate metabolism;Chondroitin sulfate biosynthesis;Metabolism of carbohydrates
Q9NPF4	tRNA modification in the nucleus and cytosol;tRNA processing;Metabolism of RNA
Q9NPF5	HATs acetylate histones;Chromatin modifying enzymes;Chromatin organization
Q9NPF7	Cytokine Signaling in Immune system;Immune System;Interleukin-12 family signaling;Signaling by Interleukins;Interleukin-4 and Interleukin-13 signaling;Interleukin-23 signaling
Q9NPG1	Signal Transduction;Signaling by WNT;Signaling by GPCR;Class B/2 (Secretin family receptors);Beta-catenin independent WNT signaling;Ca2+ pathway;PCP/CE pathway;Asymmetric localization of PCP proteins;GPCR ligand binding
Q9NPG2	Transport of small molecules;Intracellular oxygen transport
Q9NPG3	Cellular responses to stress;Cellular Senescence;Formation of Senescence-Associated Heterochromatin Foci (SAHF);DNA Damage/Telomere Stress Induced Senescence;Cellular responses to external stimuli
Q9NPH0	Metabolism;Synthesis of PA;Glycerophospholipid biosynthesis;Phospholipid metabolism;Metabolism of lipids
Q9NPH2	Metabolism;Inositol phosphate metabolism;Synthesis of IP2, IP, and Ins in the cytosol
Q9NPH3-1	Neuronal System;PIP3 activates AKT signaling;Cytokine Signaling in Immune system;Signal Transduction;Immune System;Negative regulation of the PI3K/AKT network;Receptor-type tyrosine-protein phosphatases;Interleukin-1 family signaling;Signaling by Interleukins;Protein-protein interactions at synapses;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Intracellular signaling by second messengers;Interleukin-36 pathway;Interleukin-33 signaling;Interleukin-1 signaling
Q9NPH5	Cellular responses to stress;Detoxification of Reactive Oxygen Species;Cellular responses to external stimuli
Q9NPH9	Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins;Interleukin-20 family signaling
Q9NPI1	Generic Transcription Pathway;Transcriptional Regulation by TP53;Regulation of TP53 Activity;Regulation of TP53 Activity through Acetylation;RNA Polymerase II Transcription;Gene expression (Transcription)
Q9NPI5	Metabolism;Nicotinate metabolism;Metabolism of water-soluble vitamins and cofactors;Metabolism of vitamins and cofactors
Q9NPI6	Deadenylation-dependent mRNA decay;mRNA decay by 5' to 3' exoribonuclease;Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA;Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA;Regulation of mRNA stability by proteins that bind AU-rich elements;Metabolism of RNA;Nonsense-Mediated Decay (NMD);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
Q9NPI8	Fanconi Anemia Pathway;DNA Repair
Q9NPI9	Neurotransmitter receptors and postsynaptic signal transmission;Transmission across Chemical Synapses;Neuronal System;Activation of G protein gated Potassium channels;G protein gated Potassium channels;Inwardly rectifying K+ channels;Potassium transport channels;Potassium Channels;GABA receptor activation;GABA B receptor activation;Activation of GABAB receptors;Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits
Q9NPJ1	Organelle biogenesis and maintenance;Cilium Assembly;Cargo trafficking to the periciliary membrane;BBSome-mediated cargo-targeting to cilium
Q9NPJ3	Metabolism;Metabolism of lipids;Mitochondrial Fatty Acid Beta-Oxidation;Fatty acid metabolism
Q9NPJ4	Metabolism of RNA;Nonsense-Mediated Decay (NMD);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
Q9NPJ6	Developmental Biology;Metabolism;PPARA activates gene expression;Generic Transcription Pathway;Transcriptional regulation of white adipocyte differentiation;Regulation of lipid metabolism by PPARalpha;Metabolism of lipids;RNA Polymerase II Transcription;Gene expression (Transcription)
Q9NPL8	The citric acid (TCA) cycle and respiratory electron transport;Metabolism;Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.;Respiratory electron transport;Complex I biogenesis
Q9NPP4	Innate Immune System;Immune System;Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways;Generic Transcription Pathway;Transcriptional Regulation by TP53;TP53 Regulates Transcription of Cell Death Genes;Inflammasomes;TP53 Regulates Transcription of Caspase Activators and Caspases;RNA Polymerase II Transcription;Gene expression (Transcription);The IPAF inflammasome
Q9NPY3	Innate Immune System;Immune System;Neutrophil degranulation
Q9NPZ5	Metabolism;Glycosaminoglycan metabolism;Heparan sulfate/heparin (HS-GAG) metabolism;Chondroitin sulfate/dermatan sulfate metabolism;A tetrasaccharide linker sequence is required for GAG synthesis;Metabolism of carbohydrates
Q9NQ11	Transport of small molecules;Ion transport by P-type ATPases;Ion channel transport
Q9NQ25	Adaptive Immune System;Immune System;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
Q9NQ36	Signal Transduction;Hedgehog ligand biogenesis;Signaling by Hedgehog;Release of Hh-Np from the secreting cell
Q9NQ38	Developmental Biology;Keratinization;Formation of the cornified envelope
Q9NQ40	Metabolism;Vitamin B2 (riboflavin) metabolism;Metabolism of water-soluble vitamins and cofactors;Metabolism of vitamins and cofactors
Q9NQ48	Organelle biogenesis and maintenance;Cilium Assembly;Cargo trafficking to the periciliary membrane;BBSome-mediated cargo-targeting to cilium
Q9NQ50	Metabolism of proteins;Mitochondrial translation initiation;Mitochondrial translation;Mitochondrial translation elongation;Mitochondrial translation termination;Translation
